Id;Nama Makanan;Harga;Deskripsi;Gambar
75;Cumi Tepung Mentega;29.100;Cumi Goreng Tepung Saus Tiram;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620332788547/detail/menueditor_item_349c03cae2e1469bbf849a3adcc11356_1692283494268924086.webp
76;Es Jeruk manis;9.000;Request Untuk Hangat/Panas;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620473713692/detail/menueditor_item_6c1041c259034b879f3f5e45dfaa1f38_1692283940192203664.webp
77;Cumi Tepung Kecap;29.100;Cumi Goreng Tepung Saus Asam Manis;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620343622176/detail/menueditor_item_bfd53a30106548c9bb64222b7ac061f4_1692283512010736590.webp
78;Jeruk Hangat/Panas;9.000;Nasi Goreng+Udang+Cumi+Bakso Sapi+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620471592400/detail/0ccce32960774d68ba18b2aeec765009_1692507193124291779.webp
79;Cumi Tepung Rica;29.100;Nadi Goreng+Ayam+Bakso+Telor Campur+Telor Dadar+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620352222121/detail/menueditor_item_0848152ffc6e49c29eead2e29026ca31_1692283529515702828.webp
80;Cumi Tepung Saus Tiram;29.100;Nasi Goreng+Ayam+Udang+Cumi+Sapi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620371853489/detail/menueditor_item_6ae48969c3b440c8adf34422fee38dad_1692283549477817950.webp
81;Nasi Putih 1 Porsi;6.600;Nasi Goreng+Daging Sapi+Bakso Sapi+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081715284868928/detail/menueditor_item_5242a90f927c4742990afd3140b3f2a3_1692286027088449061.webp
82;Es Teh Manis;7.200;Nasi Goreng+Sosis+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620455966488/detail/menueditor_item_bd0f965dfb45488392342d238678da48_1692283992516306691.webp
83;Teh Manis Hangat/Panas;7.200;Udang Goreng Tepung Saus Mentega;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620453944974/detail/menueditor_item_5fbbc76926504fab9591d4b4651a0894_1692284012385194535.webp
84;Cumi Kuluyuk;29.100;Nasi Goreng Siram Saus Mentega Isi Udang+Cumi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620375785139/detail/menueditor_item_ce7338956fd74f9d979c86c37d95c824_1692283565462889646.webp
85;Nasi Goreng Seafood;22.200;Nasi Goreng+Teri Medan+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617121831252/detail/menueditor_item_e60f90daee554cba8bc1ae8183fc6d29_1692205931251029673.webp
86;Nasi Goreng Spesial;19.800;Nasi Goreng+Ayam+Udang+Cumi+Sapi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081616290665885/detail/menueditor_item_e8caf6f1df40489198c6dd678f414e66_1692203333835595876.webp
87;Nasi Goreng Campur;24.300;Nadi Goreng+Ayam+Bakso+Telor Campur+Telor Dadar+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617252074249/detail/menueditor_item_1c824c413b604a6196561f63e6437bca_1692206619595649206.webp
88;Nasi Goreng Sapi;23.100;Nasi Goreng+Udang+Cumi+Bakso Sapi+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617150065710/detail/menueditor_item_0468d4b98afe4aec978805f285a7c457_1692206081131891505.webp
89;Nasi Goreng Sosis;18.000;Nasi Goreng+Daging Sapi+Bakso Sapi+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617194624926/detail/menueditor_item_e562214ec10f4a65b1d0e2f7a8b01ebc_1692206302307722789.webp
90;Udang Tepung Mentega;29.100;Nasi Goreng+Teri Medan+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620295333218/detail/menueditor_item_3b0dd3725b7846e9bbdd75aab1d8e758_1692283406769979786.webp
91;Nasi Goreng Gila Seafood;21.900;Nasi Goreng+Ati+Ampla+Bakso+Krupuk. Gambar Hanya Pemanis;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617334477853/detail/menueditor_item_de9673d6d22540ea81b609a3b15e2357_1692207221937191105.webp
92;Nasi Goreng Ikan Asin;22.500;Nasi Goreng+Ayam+Bakso+Telor Campur+Kerupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617222524771/detail/menueditor_item_a42eef778d6d435c9c6fa7a6f6b5bdeb_1692206422467188976.webp
93;Nasi Goreng Campur;24.300;Nasi Goreng+Sosis+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617252074249/detail/menueditor_item_1c824c413b604a6196561f63e6437bca_1692206619595649206.webp
94;Nasi Goreng Spesial;19.800;Nasi Goreng Campur Mie+Ayam+Bakso+Telur Canpur+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081616290665885/detail/menueditor_item_e8caf6f1df40489198c6dd678f414e66_1692203333835595876.webp
95;Nasi Goreng Seafood;22.200;Nasi Goreng campur Mie+Udang+Cumi+Bakso+Telur Campur+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081617121831252/detail/menueditor_item_e60f90daee554cba8bc1ae8183fc6d29_1692205931251029673.webp
